Location,2020 PCPI,2021 PCPI,2022 PCPI,2022 Rank
"Macon-Bibb County, GA",43140,47487,46470,339
"Madera, CA",44394,47533,46406,341
"Madison, WI",63791,70349,71516,38
"Manchester-Nashua, NH",66256,69833,71761,35
"Manhattan, KS",48378,51591,52544,238
"Mankato, MN",49812,53109,54537,206
"Mansfield, OH",42685,45205,44998,359
"McAllen-Edinburg-Mission, TX",31310,34614,33525,384
"Medford, OR",51850,56928,57552,158
"Memphis, TN-MS-AR",51325,56579,56440,174
"Merced, CA",44163,47574,46188,345
"Miami, FL",64949,74463,77732,20
"Michigan City-La Porte, IN",44985,49144,49992,283
"Midland, MI",56589,60150,60842,111
"Midland, TX",106217,123682,143728,1
"Milwaukee-Waukesha, WI",60530,66586,68155,56
"Minneapolis, MN",66431,72654,75164,24
"Missoula, MT",57586,61813,63790,84
"Mobile, AL",42339,47245,47447,324
"Modesto, CA",48532,52130,51015,267
"Monroe, LA",43343,46581,46638,337
"Monroe, MI",49721,52634,52998,233
"Montgomery, AL",45527,48911,49134,298
"Morgantown, WV",47392,51419,52114,250
"Morristown, TN",40503,45087,45286,355
"Mount Vernon-Anacortes, WA",57890,62412,62915,93
"Muncie, IN",41680,45087,45465,352
"Muskegon, MI",43376,46019,45571,350
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",46773,50432,50217,280
"Napa, CA",81905,87422,86863,10
"Naples-Marco Island, FL",110993,126031,131160,3
"Nashville-Davidson--Murfreesboro--Franklin, TN",63891,70507,74035,30
"New Bern, NC",48889,53548,53690,222
"New Haven-Milford, CT",60506,63599,64829,76
"New Orleans-Metairie, LA",56248,61860,61801,103
"New York, NY",76868,83962,84084,14
"Niles, MI",53645,59719,60311,120
"North Port-Sarasota-Bradenton, FL",64391,70878,72316,33
"Norwich-New London, CT",61119,64182,64847,75
"Ocala, FL",40896,45009,44521,367
"Ocean City, NJ",68836,73458,71590,37
"Odessa, TX",48111,52703,55448,185
"Ogden-Clearfield, UT",48181,52671,54671,199
"Oklahoma City, OK",53642,59059,60687,113
"Olympia-Lacey-Tumwater, WA",54831,59001,59697,128
"Omaha-Council Bluffs, NE-IA",59897,65275,68586,51
"Orlando, FL",47705,53183,53959,218
"Oshkosh-Neenah, WI",51855,56253,56878,168
"Owensboro, KY",45559,49723,49701,287
"Oxnard-Thousand Oaks-Ventura, CA",68273,74527,76375,22
"Palm Bay-Melbourne-Titusville, FL",51212,55934,56817,169
"Panama City, FL",50069,54638,54268,214
"Parkersburg-Vienna, WV",47676,54708,57251,161
"Pensacola-Ferry Pass-Brent, FL",48606,53389,54221,215
"Peoria, IL",51961,56157,56918,166
"Philadelphia, PA",67745,71809,73291,31
"Phoenix, AZ",54747,59518,61840,102
"Pine Bluff, AR",37396,40641,40525,381
"Pittsburgh, PA",61414,65473,65792,68
"Pittsfield, MA",61119,64444,64758,77
"Pocatello, ID",42795,46021,47470,323
"Portland-South Portland, ME",63483,69217,71990,34
"Portland, OR",62550,68356,69435,47
"Port St. Lucie, FL",62331,67616,70400,44
"Poughkeepsie-Newburgh-Middletown, NY",58949,61669,62509,97
"Prescott Valley-Prescott, AZ",46954,50065,51747,256
"Providence-Warwick, RI-MA",59500,63778,63746,85
"Provo-Orem, UT",47125,51044,53731,221
"Pueblo, CO",43256,46883,47208,329
"Punta Gorda, FL",48422,52777,53227,230
"Racine, WI",52951,56680,57574,157
"Raleigh-Cary, NC",61360,68443,70628,41
"Rapid City, SD",57839,63583,65807,67
"Reading, PA",54418,58311,58199,147
"Redding, CA",51246,54546,54120,217
"Reno, NV",65134,75364,78077,18
"Richmond, VA",61305,65915,68205,54
"Riverside, CA",47177,50572,50407,277
"Roanoke, VA",49773,53519,55243,190
"Rochester, MN",58916,63670,65003,73
"Rochester, NY",55630,58358,57902,151
"Rockford, IL",47136,51344,50806,269
"Rocky Mount, NC",44516,47945,48298,311
"Rome, GA",40944,44304,44126,370
"Sacramento, CA",61712,66696,66940,64
"Saginaw, MI",45686,48577,47700,318
"St. Cloud, MN",53197,57138,58261,144
"St. George, UT",45360,49425,50746,270
"St. Joseph, MO-KS",43464,46420,46980,333
"St. Louis, MO",61190,66848,69698,46
"Salem, OR",48434,52920,53589,225
"Salinas, CA",60216,64799,65123,71
"Salisbury, MD-DE",52014,57038,58936,136
"Salt Lake City, UT",56393,62421,65085,72
"San Angelo, TX",56198,61053,63284,89
"San Antonio, TX",50165,54459,55180,192
"San Diego, CA",67536,73350,74326,29
"San Francisco, CA",107815,124398,123736,5
"San Jose-Sunnyvale-Santa Clara, CA",122544,141739,141516,2
"San Luis Obispo-Paso Robles, CA",63024,68717,67951,57
"Santa Cruz-Watsonville, CA",78299,88997,86365,11
"Santa Fe, NM",63104,72940,74751,27
"Santa Maria-Santa Barbara, CA",68801,76910,75720,23
"Santa Rosa-Petaluma, CA",71866,78558,77900,19
"Savannah, GA",50339,55331,55383,187
"Scranton--Wilkes-Barre, PA",49892,52976,52304,246
"Seattle, WA",81785,90194,92113,9
"Sebastian-Vero Beach, FL",87110,99515,105250,6
"Sebring-Avon Park, FL",38713,41693,41845,378
"Sheboygan, WI",54964,58813,60359,119
"Sherman-Denison, TX",48865,52873,53393,229
"Shreveport-Bossier City, LA",52235,55374,55858,181
"Sierra Vista-Douglas, AZ",46835,49445,50195,281
"Sioux City, IA-NE-SD",53474,57441,59427,131
"Sioux Falls, SD",66620,72093,74725,28
"South Bend-Mishawaka, IN-MI",50113,55221,56410,176
"Spartanburg, SC",47726,52220,52621,237
"Spokane-Spokane Valley, WA",48577,53887,53620,223
"Springfield, IL",52228,57827,57178,162
"Springfield, MA",59263,60597,60461,116
"Springfield, MO",45566,48226,49533,290
"Springfield, OH",44342,47344,47151,330
"State College, PA",52013,55107,54686,198
"Staunton, VA",47467,51192,52910,234
"Stockton, CA",51317,55827,54183,216
"Sumter, SC",42396,46391,46288,343
"Syracuse, NY",55046,58098,57576,156
"Tallahassee, FL",47474,52041,52359,244
"Tampa, FL",53629,58517,60091,123
"Terre Haute, IN",41804,45615,45783,347
"Texarkana, TX-AR",42609,46238,46472,338
"The Villages, FL",59621,68524,69224,48
"Toledo, OH",50875,54212,54483,208
"Topeka, KS",50122,53456,54500,207
"Trenton-Princeton, NJ",72811,77984,79354,17
"Tucson, AZ",49601,53034,54464,209
"Tulsa, OK",55882,60830,62618,96
"Tuscaloosa, AL",39192,41225,41350,379
"Twin Falls, ID",43105,46368,48305,310
"Tyler, TX",55450,63074,66784,65
"Urban Honolulu, HI",60273,64193,64936,74
"Utica-Rome, NY",49228,52213,51162,265
"Valdosta, GA",40260,43123,42469,377
"Vallejo, CA",57029,59873,58273,143
"Victoria, TX",53446,57395,58905,138
"Vineland-Bridgeton, NJ",44000,48073,46791,334
"Virginia Beach-Norfolk-Newport News, VA-NC",52283,56699,57873,153
"Visalia, CA",45523,48626,47295,328
"Waco, TX",45394,49508,49798,286
"Walla Walla, WA",49569,54897,55436,186
"Warner Robins, GA",44845,48567,47478,322
"Washington, DC",75141,81121,83010,15
"Waterloo-Cedar Falls, IA",50161,53960,55247,189
"Watertown-Fort Drum, NY",50260,52354,51749,255
"Wausau-Weston, WI",53612,57969,58770,140
"Weirton-Steubenville, WV-OH",44101,47495,47725,316
"Wenatchee, WA",53692,57775,57853,154
"Wheeling, WV-OH",47389,51988,53193,231
"Wichita, KS",52170,56110,58165,149
"Wichita Falls, TX",47841,51082,51731,257
"Williamsport, PA",48046,50730,49869,285
"Wilmington, NC",52233,57695,58526,142
"Winchester, VA-WV",53138,57743,59702,127
"Winston-Salem, NC",48648,53204,54330,213
"Worcester, MA-CT",59994,63142,63475,87
"Yakima, WA",45996,49637,49266,295
"York-Hanover, PA",54395,57656,57321,160
"Youngstown-Warren-Boardman, OH-PA",45478,48647,48645,305
"Yuba City, CA",47794,51401,50252,279
"Yuma, AZ",42177,44285,44811,364
,,,,
,,,,
,,,,
,,,,
